ABP100Y1|Introduction to Academic Studies|||Creative and Cultural Representations (1), Society and its Institutions (3)
ABP101Y1|Introduction to Academic Studies in the Sciences|||The Physical and Mathematical Universes (5)
ABP102Y1|Contemporary Canada|||Creative and Cultural Representations (1), Society and its Institutions (3)
ABP103Y1|Introduction to the Study of Literature|||Creative and Cultural Representations (1)
ABP104Y1|Environmental Issues Today|||Society and its Institutions (3)
ABP105Y1|Indigenous Cultures and Societies|||Society and its Institutions (3)
ABP106Y1|Media, Culture, and Society|||Creative and Cultural Representations (1)
ABP107Y1|Introduction to University Studies in Mathematics|||The Physical and Mathematical Universes (5)
ABP108Y1|Introduction to University Studies in Chemistry|||The Physical and Mathematical Universes (5)
ABP109Y1|Diverse Histories of Canada|||Society and its Institutions (3)
ACT199H1|Decipher Financial Puzzles in the Media and Pop Culture|||The Physical and Mathematical Universes (5)
ACT230H1|Mathematics of Finance for Non-Actuaries|First-year Calculus||The Physical and Mathematical Universes (5)
ACT240H1|Mathematics of Investment & Credit|MAT137Y1 (minimum grade 63%)/ MAT157Y1 (minimum grade 60%)||The Physical and Mathematical Universes (5)
ACT245H1|Financial Principles for Actuarial Science I|ACT240H1,  MAT137Y1 (minimum grade 63%)/ MAT157Y1 (minimum grade 60%)||The Physical and Mathematical Universes (5)
ACT247H1|Introductory Life Contingencies|ACT240H1;  MAT137Y1 (minimum grade 63%)/ MAT157Y1 (minimum grade 60%);  STA257H1||The Physical and Mathematical Universes (5)
ACT348H1|Life Contingencies II|ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%)|STA257H1,  MAT237Y1/  MAT257Y1|The Physical and Mathematical Universes (5)
ACT349H1|Corporate Finance for Actuarial Science|ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%)|STA257H1,  MAT237Y1/  MAT257Y1|The Physical and Mathematical Universes (5)
ACT350H1|Applied Probability for Actuarial Science|ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%),  STA257H1|MAT223H1/  MAT240H1,  MAT237Y1/  MAT257Y1|The Physical and Mathematical Universes (5)
ACT370H1|Financial Principles for Actuarial Science II|ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%)|STA261H1,  MAT237Y1/  MAT257Y1|The Physical and Mathematical Universes (5)
ACT371H1|Basic Reserving Methods For P&C Insurance|ACT240H1,  STA257H1||The Physical and Mathematical Universes (5)
ACT372H1|Basic Ratemaking Methods For P&C Insurance|ACT371H1||
ACT390H1|Professional Experience in Actuarial Science|Enrolment in the Actuarial Science Specialist program or by approval of the Department of Statistical Sciences.||
ACT391H1|Professional Internship|ACT390H1||
ACT398H0|Research Excursions|||The Physical and Mathematical Universes (5)
ACT398Y0|Research Excursions|||The Physical and Mathematical Universes (5)
ACT451H1|Loss Models|STA257H1,  ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%)||The Physical and Mathematical Universes (5)
ACT452H1|Loss Models II|ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%),  STA261H1,  ACT451H1||The Physical and Mathematical Universes (5)
ACT455H1|Advanced Life Contingencies|ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%),  ACT348H1,  ACT350H1/  STA347H1||The Physical and Mathematical Universes (5)
ACT460H1|Stochastic Methods for Actuarial Science and Finance|ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%),  ACT350H1/ STA347H1||The Physical and Mathematical Universes (5)
ACT466H1|Credibility and Simulation|ACT240H1 (minimum 63%),  ACT245H1 (minimum 63%),  ACT247H1 (minimum 63%),  STA261H1,  ACT451H1||The Physical and Mathematical Universes (5)
ACT470H1|Advanced Pension Mathematics|ACT348H1 or permission of instructor|ACT455H1|The Physical and Mathematical Universes (5)
ACT471H1|Topics in Casualty Actuarial Science|ACT371H1||The Physical and Mathematical Universes (5)
ACT473H1|Issues In Actuarial Practice|ACT348H1,  ACT349H1||The Physical and Mathematical Universes (5)
ACT475H1|Insurance Products and Regulation with AXIS|ACT240H1,  ACT245H1,  ACT247H1|ACT348H1|The Physical and Mathematical Universes (5)
ACT496H1|Readings in Actuarial Science|||The Physical and Mathematical Universes (5)
ACT497H1|Readings in Actuarial Science|||The Physical and Mathematical Universes (5)
ACT498Y1|Readings in Actuarial Science|||The Physical and Mathematical Universes (5)
ACT499Y1|Readings in Actuarial Science|||The Physical and Mathematical Universes (5)
AFR150Y1|Introduction to African Studies|||Society and its Institutions (3)
AFR250Y1|Africa in the 21st Century: Challenges and Opportunities|||Creative and Cultural Representations (1), Society and its Institutions (3)
AFR251H1|Language, Freedom and Linguistic Human Rights in Africa|||Creative and Cultural Representations (1)
AFR270H1|African Literature and the Politics of Storytelling|||Creative and Cultural Representations (1)
AFR280Y1|Introductory Swahili|||Creative and Cultural Representations (1)
AFR290H1|The Idea of Africa|||Society and its Institutions (3)
AFR298H1|Popular Uprisings in Africa|||Society and its Institutions (3)
AFR322H1|The Contemporary African Novel|||Creative and Cultural Representations (1)
AFR351Y1|African Systems of Thought|||Society and its Institutions (3), Thought, Belief and Behaviour (2)
AFR352H1|International Organizations, NGOs, Development and Change in Africa|AFR150Y1/ AFR250Y1||Society and its Institutions (3)
AFR353H1|International Relations of Africa|AFR150Y1/ AFR250Y1||Society and its Institutions (3)
AFR354H1|African Cultures and Development|AFR150Y1/ AFR250Y1||Society and its Institutions (3)
AFR355H1|African Youth Languages and Cultures|AFR150Y1/ AFR250Y1/ AFR280Y1||Thought, Belief and Behaviour (2)
AFR357H1|Special Topics in African Studies|AFR150Y1/ AFR250Y1||
AFR358H1|Special Topics in African Studies|AFR150Y1/ AFR250Y1||
AFR359H1|The Horn of Africa - Critical Perspectives|Completion of at least 4.0 credits||Society and its Institutions (3)
AFR365H1|Art, Media and Politics in Africa and the African Diaspora|Completion of 4.0 credits.||Creative and Cultural Representations (1)
AFR370H1|Anticolonialism, Radicalism and Revolutions in Africa|Completion of 4.0 credits||Society and its Institutions (3)
AFR380Y1|Intermediate Swahili|AFR280Y1||Creative and Cultural Representations (1)
AFR389H1|The Geopolitics and Debates on Africa-China Economic Relations|Completion of 4.0 credits||Society and its Institutions (3)
AFR450Y1|African Studies Honours Research Seminar|AFR150Y1/  AFR250Y1/ 400-level Group A Course. Students who do not meet the prerequisites are encouraged to contact the department.||Society and its Institutions (3)
AFR451H1|Special Topics in African Studies|AFR150Y1/ AFR250Y1||
AFR452H1|Kiswahili in a Globalized World|Completion of 9.0 credits||Creative and Cultural Representations (1)
AFR454H1|Migration, Mobility, and Displacement in Contemporary Africa|AFR150Y1/ AFR250Y1 or permission of the instructor.||Society and its Institutions (3)
AFR455H1|Conflicts, Negotiations and Peacebuilding in Africa|AFR150Y1/ AFR250Y1||Society and its Institutions (3)
AFR459H1|Advanced Special Topics in African Studies|AFR150Y1/ AFR250Y1||
AFR499H1|Advanced Topics in African Studies|AFR150Y1/ AFR250Y1, at least 1.0 credit from African Studies Group A at the 300+ level. Students who do not meet the prerequisites are encouraged to contact the Program Office.||
AMS199H1|Razing the Roof and Tearing Down Monuments: Controversies in Public Memory|None|None|Creative and Cultural Representations (1)
AMS200H1|Introduction to American Studies|||Society and its Institutions (3)
AMS210H1|Concepts in American Studies|||Society and its Institutions (3)
AMS300H1|Theories and Methods in American Studies|HIS271Y1/  ENG250Y1/  GGR240H1/  GGR254H1/  POL203Y1/  POL386Y1/ ( POL347H1,  POL386H1).If you do not have these prerequisites but would like to take the course, please contact the instructor and/or csus@utoronto.ca to discuss exceptions to the prerequisites.||Creative and Cultural Representations (1)
AMS310H1|Approaches to American Studies|AMS300H1/ USA300H1, or 1.0 credit chosen from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.If you do not have these prerequisites but would like to take the course, please contact the instructor and/or csus@utoronto.ca to discuss exceptions to the prerequisites.||Creative and Cultural Representations (1)
AMS311H1|Approaches to American Studies|AMS300H1/ USA300H1, or 1.0 credit chosen from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.If you do not have these prerequisites but would like to take the course, please contact the instructor and/or csus@utoronto.ca to discuss exceptions to the prerequisites.||Creative and Cultural Representations (1)
AMS312H1|Approaches to American Studies|AMS300H1/ USA300H1, or 1.0 credit chosen from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.If you do not have these prerequisites but would like to take the course, please contact the instructor and/or csus@utoronto.ca to discuss exceptions to the prerequisites.||Society and its Institutions (3)
AMS313H1|Approaches to American Studies|AMS300H1/ USA300H1, or 1.0 credit chosen from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.If you do not have these prerequisites but would like to take the course, please contact the instructor and/or csus@utoronto.ca to discuss exceptions to the prerequisites.||Society and its Institutions (3)
AMS400H1|Topics in American Studies|2.0 credits chosen from courses with the AMS/USA designator or from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.If you do not have these prerequisites but would like to take the course, please contact the instructor and/or csus@utoronto.ca to discuss exceptions to the prerequisites.||Creative and Cultural Representations (1)
AMS401H1|Topics in American Studies|2.0 credits chosen from courses with the AMS/USA designator or from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.If you do not have these prerequisites but would like to take the course, please contact the instructor and/or csus@utoronto.ca to discuss exceptions to the prerequisites.||Creative and Cultural Representations (1)
AMS402H1|Topics in American Studies|2.0 credits chosen from courses with the AMS/USA designator or from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.If you do not have these prerequisites but would like to take the course, please contact the instructor and/or csus@utoronto.ca to discuss exceptions to the prerequisites.||Society and its Institutions (3)
AMS403H1|Topics in American Studies|2.0 credits chosen from courses with the AMS/USA designator or from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.If you do not have these prerequisites but would like to take the course, please contact the instructor and/or csus@utoronto.ca to discuss exceptions to the prerequisites.||Society and its Institutions (3)
AMS494H1|Independent Studies|||
AMS495Y1|Independent Studies|||
ANA200H1|Human Visceral Anatomy|||Living Things and Their Environment (4)
ANA300Y1|Human Anatomy and Histology|BIO130H1/ BIO152H5/ BIOA01H3/ BIO206H5/ BIOB10H3.  ANA126Y1 may be applied for students enrolled in a program in Kinesiology and Physical Education.||Living Things and Their Environment (4)
ANA301H1|Human Embryology|BIO130H1||Living Things and Their Environment (4)
ANA400H1|Anatomy Dissection|ANA300Y1 and permission of department. Normally a "B+" standing will be required.||Living Things and Their Environment (4)
ANA411H1|Anatomy in Application: Exercise & Biomechanics|ANA126Y1 or  ANA300Y1 (78%) or equivalent||Living Things and Their Environment (4)
ANA420H1|Anatomy of the Stem Cell Niche|Completion of 9.0 credits including one of  BIO230H1/  PSL201Y1/  PSL300H1/  ANA301H1/  ANA300Y1/  HMB302H1||Living Things and Their Environment (4)
ANA498Y1|Project in Anatomy|Permission of a professor to supervise the project||Living Things and Their Environment (4)
ANT100Y1|Introduction to Anthropology|||Living Things and Their Environment (4), Society and its Institutions (3)
ANT192H1|Murder and Other Deathly Crimes: Anthropological Perspectives|||Creative and Cultural Representations (1)
ANT193H1|Making, Using, and Interpreting Stone Tools|||Thought, Belief and Behaviour (2)
ANT194H1|Human-nonhuman relations through Manga & Anime|||Creative and Cultural Representations (1)
ANT195H1|Speculative Fiction and Social Reality|||Thought, Belief and Behaviour (2)
ANT197H1|Representations of Intellectuals|||Society and its Institutions (3)
ANT199H1|Living on the Water in Toronto|||Society and its Institutions (3)
ANT200Y1|Introduction to Archaeology|||Society and its Institutions (3)
ANT203Y1|The Nature of Humans|||Living Things and Their Environment (4)
ANT204H1|Social Cultural Anthropology and Global Issues|||Society and its Institutions (3)
ANT205H1|Medical Anthropology: Sociocultural Perspectives on Illness, Medicine and Care|||Society and its Institutions (3)
ANT207H1|Core Concepts in Social and Cultural Anthropology|||Society and its Institutions (3)
ANT208H1|Medical Anthropology: an Evolutionary Perspective on Human Health|||Living Things and Their Environment (4)
ANT210H1|Anthropologists and Indigenous Peoples in North America|||Society and its Institutions (3)
ANT215H1|Fight the Power!: A Global History of Resistance and Revolution|0.5 credit in BR=1/ 2/ 3||Society and its Institutions (3)
ANT253H1|Language & Society|||Thought, Belief and Behaviour (2)
ANT299Y1|Research Opportunity Program|||
ANT311Y0|Archaeological Fieldwork|||
ANT311Y1|Archaeological Fieldwork|ANT200Y1/  ARH100Y1||
ANT314H1|Archaeology of the Pacific Northwest|ANT200Y1/  ARH100Y1||Society and its Institutions (3)
ANT315H1|Arctic Archaeology|ANT200Y1/  ARH100Y1||Society and its Institutions (3)
ANT317H1|Archaeology of Eastern North America|ANT200Y1/  ARH100Y1||Society and its Institutions (3)
ANT318H1|The Preindustrial City and Urban Social Theory|ANT200Y1/  ARH100Y1||Society and its Institutions (3)
ANT319Y1|Archaeology of North America|ANT200Y1/  ARH100Y1||Society and its Institutions (3)
ANT320H1|Ancient Cultures of the Andes|ANT100Y1/  ANT200Y1/  ARH100Y1||Society and its Institutions (3)
ANT322H1|Anthropology of Youth Culture|ANT204H1 or  ANT207H1||Society and its Institutions (3)
ANT324H1|Tourism & Globalization|ANT204H1 or  ANT207H1||Society and its Institutions (3)
ANT325H1|Indigenous Archaeologies|1 course from  ANT200Y1/  ARH205H1/  ANT210H1/  ANT215H1/  INS201Y1/  INS200H1||Society and its Institutions (3)
ANT327H1|"Diversity": Critical/Comparative Studies of Indigeneity, Multiculturalism and (Settler) Colonialism|ANT204H1 or  ANT253H1||Society and its Institutions (3)
ANT329H1|Language & Power Structure|ANT204H1 or  ANT207H1 or  ANT253H1 or  MCS223H1 or 0.5 credit at the 200+ level in SOC or POL or LIN or Women's Studies||Thought, Belief and Behaviour (2)
ANT330Y1|Paleoanthropology Field School|ANT203Y1||Living Things and Their Environment (4)
ANT333Y1|Living Primate Adaptations|ANT203Y1||Living Things and Their Environment (4)
ANT334H1|Human Skeletal Biology|ANT203Y1||Living Things and Their Environment (4)
ANT335Y1|Human Evolution|ANT203Y1||Living Things and Their Environment (4)
ANT336H1|Evolutionary Anthropology Theory|ANT203Y1||Living Things and Their Environment (4)
ANT337H1|Human Movement|ANT203Y1||Living Things and Their Environment (4)
ANT338H1|Molecular Anthropology and Human Evolution|ANT203Y1||Living Things and Their Environment (4)
ANT340H1|Anthropology of Latin America|ANT207H1||Society and its Institutions (3)
ANT341H1|China in Transition|ANT207H1||Society and its Institutions (3)
ANT342H1|Anthropology of Race and Racism|ANT207H1||Society and its Institutions (3)
ANT343H1|Social Anthropology of Gender|ANT207H1||Society and its Institutions (3)
ANT344H1|Political Anthropology|ANT204H1 or  ANT207H1||Society and its Institutions (3)
ANT345H1|Global Health: Anthropological Perspectives|ANT205H1 or  ANT207H1 or permission of the instructor||Society and its Institutions (3)
ANT346H1|Anthropology of Food|ANT204H1 or  ANT207H1||Society and its Institutions (3)
ANT347H1|Metropolis: Global Cities|ANT207H1||Society and its Institutions (3)
ANT348H1|Medical Anthropology: Health, Power and Politics|ANT204H1 or  ANT205H1 or  ANT207H1 or permission of the instructor. (Note:  ANT208H1 is not accepted preparation for this course.)||Society and its Institutions (3)
ANT352H1|Anthropology of Life and Death|ANT204H1/  ANT207H1||Society and its Institutions (3)
ANT356H1|Anthropology of Religion|ANT207H1||Thought, Belief and Behaviour (2)
ANT357H1|Social Worlds of Medicine and Care|ANT205H1||Society and its Institutions (3)
ANT358H1|Medical Anthropology and Social Justice|ANT204H1 or  ANT205H1 or  ANT207H1||Society and its Institutions (3)
ANT362H1|Sports and Play|ANT204H1 or  ANT207H1||Creative and Cultural Representations (1)
ANT364H1|Environment & Globalization|ANT204H1 or  ANT207H1||Society and its Institutions (3)
ANT366H1|Anthropology of Activism and Social Justice|ANT207H1||Society and its Institutions (3)
ANT370H1|Introduction to Social Anthropological Theory|ANT207H1||Society and its Institutions (3)
ANT372H1|Cultural Property|ANT100Y1/  ANT200Y1/  ARH100Y1/  ANT204H1/  ANT207H1/  ANT253H1||Society and its Institutions (3)
ANT374H1|Rethinking Development, or the Improvement of the World|ANT207H1 or permission of the instructor||Society and its Institutions (3)
ANT376H1|Anthropology of Animals|ANT204H1 or  ANT207H1||Society and its Institutions (3)
ANT378H1|Gift, Money, and Finance|ANT204H1 or  ANT207H1||Society and its Institutions (3)
ANT380H1|Craft of Social/Cultural Anthropology|ANT207H1||Society and its Institutions (3)
ANT382H1|Special Topics in Biocultural Medical Anthropology|ANT208H1||Living Things and Their Environment (4)
ANT384H1|Special Topics in Society, Culture and Language|ANT207H1||Society and its Institutions (3)
ANT385H1|Special Topics in Sociocultural Medical Anthropology|ANT205H1 or  ANT207H1||Society and its Institutions (3)
ANT386H1|Global Catholicism: Anthropological Approaches|ANT204H1 or  ANT207H1 or  RLG212H1 or  RLG203H1||Thought, Belief and Behaviour (2)
ANT390H1|Special Topics in Anthropology|9.0 credits. Further prerequisites vary from year to year, consult the department.||
ANT395Y0|Special Topics in Anthropology|||
ANT396Y0|Special Topics in Anthropology|||
ANT398H0|Research Excursions|||
ANT398Y0|Research Excursions|||
ANT399Y1|Research Opportunity Program|||
ANT406H1|Lithic Analysis|ANT200Y1/  ARH100Y1,  ARH205H1/  ARH305H1,  ARH312Y1||The Physical and Mathematical Universes (5)
ANT407H1|Inka and Aztec States|ANT200Y1/  ARH100Y1,  ARH205H1/  ARH305H1||Society and its Institutions (3)
ANT409H1|Landscape Archaeology|ARH205H1/ ARH305H1||Society and its Institutions (3)
ANT410H1|Hunter-Gatherers Past & Present|ARH205H1/ ARH305H1||Society and its Institutions (3)
ANT411H1|Advanced Archaeological Theory|ARH205H1/ ARH305H1||Thought, Belief and Behaviour (2)
